pos_x,pos_y,orientation_z
1.5737855,1.5649692,1.0232555
1.3676099,1.5622029,1.0286974
1.202593,1.5786308,1.0376134
0.8774384,1.58886,1.0329348
0.8259746,1.6562401,1.0014645
0.8259746,1.6562401,1.0014645
0.69602835,1.7571652,0.9619233
0.6484412,2.010836,0.91960806
0.66940296,2.007475,0.89822096
0.625307,2.321749,0.77853477
0.625307,2.321749,0.77853477
0.6723925,2.6499164,0.71098614
0.7318153,2.5845585,0.64452505
0.8248279,2.7778203,0.4957106
0.97160006,2.8440013,0.45570776
0.97160006,2.8440013,0.45570776
1.1685684,2.9462216,0.34575868
1.4870814,2.9056284,0.1631978
1.4521617,2.9169512,0.048961706
1.7230692,2.8555458,-0.081923194
1.8371031,2.8005688,-0.09445787
1.8371031,2.8005688,-0.09445787
2.0208817,2.7798676,-0.093246005
2.219567,2.7163093,-0.10366576
2.3593771,2.74348,-0.09860621
2.5798442,2.7008164,-0.0946007
2.7552645,2.6277287,-0.04752209
2.7552645,2.6277287,-0.04752209
3.0212955,2.6407316,-0.010336097
3.186881,2.6527686,0.00076646544
3.3776689,2.667682,0.017878054
3.6174748,2.6896315,0.028049635
3.8595047,2.6717916,0.013923457
3.8595047,2.6717916,0.013923457
4.0271263,2.66667,0.01710173
4.3485084,2.7306218,0.04923427
4.357108,2.6432498,0.094746254
4.6001453,2.799518,0.2292364
4.7882004,2.8818476,0.2775096
4.7882004,2.8818476,0.2775096
4.8444357,3.0217397,0.31775966
4.9761553,3.1626174,0.45320493
4.97234,3.2539432,0.48316622
5.120582,3.4938493,0.51501065
5.203999,3.7612412,0.5180615
5.203999,3.7612412,0.5180615
5.227785,3.8798845,0.56697106
5.228217,4.160861,0.68236226
5.1882577,4.2931957,0.7538186
5.0331964,4.470507,0.840391
4.9122777,4.578509,0.91797155
4.81283,4.6497707,0.9606261
4.552864,4.7280364,0.996916
4.353752,4.7624583,1.0147678
4.353752,4.7624583,1.0147678
4.2192016,4.754062,1.0240797
3.9599073,4.661201,1.0131851
3.847689,4.6455827,1.0083425
3.6454425,4.5919304,1.0114714
3.4491014,4.566013,1.0152004
3.4491014,4.566013,1.0152004
3.2556064,4.531167,1.0154597
3.0844073,4.5545216,1.0336343
2.9942043,4.6182756,1.0168703
